navaid_id,dme_frequency_khz,dme_channel,dme_latitude_deg,dme_longitude_deg
86229,117500,122X,,
86242,112200,059X,,
86245,114300,090X,,
86248,113900,086X,,
86250,113300,080X,,
86252,114400,091X,,
86255,110800,045X,,
86258,117600,123X,,
86260,112700,074X,,
86264,117800,125X,,
86271,116500,112X,,
86272,117500,122X,,
86273,117100,118X,,
86275,117200,119X,,
86276,116000,107X,,
86277,113700,084X,,
86279,114500,092X,,
86284,112200,059X,,
86285,113500,082X,,
86287,111200,049X,,
86288,114500,092X,,
86289,112200,059X,,
86305,116450,111Y,40.46900000,-3.55766000
86308,114000,087X,,
86309,113200,079X,40.61070000,18.00280000
86310,116900,116X,,
86311,114800,095X,,
86315,110600,043X,,
86317,112500,072X,,
86319,111400,051X,,
86322,117200,119X,,
86323,112200,059X,,
86324,115300,100X,-17.94690000,122.23500000
86325,116200,109X,,
86327,116300,110X,,
86328,115900,106X,50.28560000,30.89930000
86332,115900,106X,,
86335,114100,088X,,
86336,113600,083X,,
86338,112000,057X,,
86341,114500,092X,,
86342,117600,123X,,
86343,116200,109X,,
86345,114100,088X,,
86346,115300,100X,,
86356,108500,022X,24.42660000,118.34900000
86358,115900,106X,,
86359,117700,124X,45.43780000,10.31590000
86361,115900,106X,,
86364,112300,070X,,
86365,114850,095Y,,
86366,110000,037X,,
86367,114000,087X,,
86368,112300,070X,,
86369,114700,094X,,
86373,112400,071X,,
86376,108800,025X,,
86384,114150,088Y,,
86387,109400,031X,,
86389,116600,113X,45.74770000,-122.59200000
86393,109400,031X,,
86394,116000,107X,,
86395,115700,104X,,
86398,115900,106X,,
86399,113500,082X,,
86400,115800,105X,,
86401,116500,112X,,
86402,113500,082X,,
86404,116000,107X,,
86406,117500,122X,,
86407,114700,094X,,
86408,114150,088Y,,
86420,109400,031X,,
86421,114600,093X,,
86424,117300,120X,,
86426,117100,118X,,
86427,116400,111X,,
86428,113400,081X,,
86431,115200,099X,,
86432,114300,090X,,
86434,114700,094X,,
86435,115900,106X,,
86437,110600,043X,,
86438,112900,076X,,
86442,115800,105X,,
86443,110800,045X,,
86445,114500,092X,,
86446,116200,109X,,
86447,112200,059X,,
86448,117450,121Y,,
86457,112400,071X,,
86459,113100,078X,,
86462,113100,078X,,
86463,112300,070X,,
86465,117900,126X,,
86468,114100,088X,,
86469,113500,082X,,
86472,115100,098X,,
86481,114700,094X,,
86482,108600,023X,,
86483,117900,126X,,
86488,109600,033X,,
86490,114200,089X,,
86497,110600,043X,,
86499,113200,079X,,
86504,114100,088X,,
86506,114600,093X,,
86508,113100,078X,,
86518,116800,115X,,
86519,114300,090X,,
86523,110800,045X,,
86524,111900,056X,,
86525,112400,071X,,
86549,110800,045X,,
86552,112700,074X,,
86553,115100,098X,,
86557,114700,094X,,
86560,112500,072X,-32.26360000,125.49600000
86561,113400,081X,39.24890000,9.05397000
86563,112500,072X,,
86565,116200,109X,,
86566,114100,088X,,
86567,114100,088X,,
86568,115000,097X,,
86569,115000,097X,,
86576,113000,077X,-24.88190000,113.67300000
86577,114300,090X,,
86578,115100,098X,,
86583,109500,032X,,
86584,114300,090X,,
86586,114300,090X,,
86587,117500,122X,,
86588,112100,058X,,
86593,111650,053Y,,
86596,113000,077X,,
86599,109600,033X,,
86600,116700,114X,,
86608,114500,092X,,
86609,112100,058X,,
86610,116900,116X,,
86615,113500,082X,,
86617,117800,125X,,
86621,116900,116X,,
86622,115100,098X,,
86625,115200,099X,,
86627,117550,122Y,55.97560000,-3.99111000
86629,109200,029X,,
86630,115400,101X,,
86631,114100,088X,-12.20040000,96.84110000
86638,112900,076X,,
86639,117200,119X,,
86643,111300,050X,,
86645,114600,093X,,
86646,117000,117X,,
86647,114200,089X,39.52460000,-6.43468000
86648,109800,035X,,
86649,112200,059X,,
86655,114900,096X,,
86656,112600,073X,,
86657,112400,071X,37.84590000,-4.84491000
86658,117300,120X,,
86659,117300,120X,,
86660,112050,057Y,,
86665,114700,094X,,
86666,112300,070X,,
86669,112900,076X,39.69750000,3.43406000
86670,117100,118X,,
86671,113400,081X,,
86672,117600,123X,,
86681,112500,072X,,
86682,109000,027X,,
86683,114000,087X,,
86687,114600,093X,,
86688,115100,098X,,
86691,117750,124Y,35.89260000,-5.30528000
86692,113600,083X,,
86695,115900,106X,,
86696,108400,021X,,
86700,114350,090Y,,
86701,112200,059X,,
86710,112300,070X,,
86718,116200,109X,,
86722,112900,076X,,
86725,115350,100Y,,
86726,116900,116X,,
86727,114500,092X,,
86728,113300,080X,,
86731,115700,104X,,
86733,109200,029X,,
86734,114200,089X,,
86735,111100,048X,,
86736,117000,117X,-30.31940000,153.11600000
